"abiungo –gere –xi –ctum"	"abiungō –gere –xī –ctum"	"to separate, detach"	"to separate, detach"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abiungo"	"8014"
"abiurgo –are –avi –atum"	"abiurgō –āre –āvī –ātum"	"to deny or refuse reproachfully"	"to deny or refuse reproachfully"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abiurgo"	"11140"
"abiuro abiurare abiuravi abiuratus"	"abiūrō abiūrāre abiūrāvī abiūrātus"	"to swear off"	"to swear off; deny upon oath; deny, disavow"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abiuro"	"9174"
"abluo –ere –lui –lutus"	"abluō –ere –luī –lūtus"	"to wash away"	"to wash away; cleanse, purify, wash"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abluo"	"4087"
"abnego abnegare abnegavi abnegatus"	"abnegō abnegāre abnegāvī abnegātus"	"to deny"	"to deny, refuse, with acc. and dat., with inf.; alone"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abnego"	"6575"
"abnuo abnuere abnui abnuitus"	"abnuō abnuere abnuī abnuitus"	"to refuse, deny"	"to refuse, deny, decline; refuse by sign, shake head; reject; rule out"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abnuo"	"4087"
"aboleo abolere abolevi abolitus"	"aboleō abolēre abolēvī abolitus"	"to abolish, cause to wane or waste"	"to cause to wane or waste; to destroy; cleanse, efface, wipe out; obliterate the memory of"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#aboleo"	"3767"
"abolesco abolescere abolescolevi –––"	"abolēscō abolēscere abolēscolēvī –––"	"to decay"	"to decay (> aboleo)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abolesco"	"11140"
"abolla –ae f."	"abolla –ae f."	"a cloak"	"a cloak"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#abolla"	"11140"
"abominatio –onis f."	"abōminātiō –ōnis f."	"abomination"	"an abomination"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#abominatio"	"8014"
"abortivus –a –um"	"abortīvus –a –um"	"born prematurely"	"born prematurely"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#abortivus"	"11140"
"abrado –radere –rasi –rasum"	"abrādō –rādere –rāsī –rāsum"	"to scrape away"	"to scrape away, shave off"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abrado"	"8014"
"abrenuntio –are –avi –atum"	"abrenūntiō –āre –āvī –ātum"	"to renounce"	"to renounce"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abrenuntio"	"15105"
"abripio abripere abripui abreptus"	"abripiō abripere abripuī abreptus"	"to take away violently"	"to take away violently; snatch, carry away (> ab and rapio)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abripio"	"3767"
"Abrotonum –i n."	"Abrotonum –ī n."	"Abrotonum (place)"	"Abrotonum, a Phoenician city on the coast of N. Africa, in the district of Tripolitana, between the Syrtes"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#Abrotonum"	"11140"
"abrumpo abrumpere abrupi abruptum"	"abrumpō abrumpere abrūpī abruptum"	"to break off, sever"	"to break off, sever"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abrumpo"	"2603"
"abruptus –a um"	"abruptus –a um"	"steep, sheer"	"steep, sheer"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#abruptus"	"7186"
"abscessus abscessus m."	"abscessus abscessūs m."	"going away"	"a going away, retreat (> abscedo, to go away)"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#abscessus"	"9174"
